stem,image_path,iou,dice,ap
cju15wdt3zla10801odjiw7sy,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju15wdt3zla10801odjiw7sy.jpg,0.976054,0.987882,0.999564
cju160wshltz10993i1gmqxbe,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju160wshltz10993i1gmqxbe.jpg,0.922648,0.959768,0.99782
cju16ach3m1da0993r1dq3sn2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16ach3m1da0993r1dq3sn2.jpg,0.974202,0.986932,0.999515
cju16b6ynq8e40988m8vx0xnj,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16b6ynq8e40988m8vx0xnj.jpg,0.919715,0.958179,0.995858
cju16d65tzw9d0799ouslsw25,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16d65tzw9d0799ouslsw25.jpg,0.96106,0.980144,0.999109
cju16fpvhzypl0799p9phnlx6,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16fpvhzypl0799p9phnlx6.jpg,0.957814,0.978452,0.998711
cju16jgnyzp970878melv7r25,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16jgnyzp970878melv7r25.jpg,0.904777,0.950008,0.990896
cju16whaj0e7n0855q7b6cjkm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16whaj0e7n0855q7b6cjkm.jpg,0.946861,0.972705,0.997427
cju171py4qiha0835u8sl59ds,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju171py4qiha0835u8sl59ds.jpg,0.902184,0.948577,0.988627
cju175facms5f0993a5tjikvt,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju175facms5f0993a5tjikvt.jpg,0.966636,0.983035,0.999509
cju17bz250pgd0799u1hqkj5u,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17bz250pgd0799u1hqkj5u.jpg,0.957289,0.978178,0.9988
cju17g6ykn1cs0993dww6qdi8,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17g6ykn1cs0993dww6qdi8.jpg,0.971907,0.985754,0.999333
cju17hw9hr9c5098800fu4u8e,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17hw9hr9c5098800fu4u8e.jpg,0.942993,0.97066,0.998504
cju17otoe119u0799nqcbl8n1,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17otoe119u0799nqcbl8n1.jpg,0.907634,0.951581,0.992823
