Min_Support,Min_Confidence,Antecedent,Consequent,Support,Confidence
0.05,0.3,{'pastry'},{'yogurt'},0.05797845048742945,0.3265895953757225
0.05,0.3,{'canned beer'},{'yogurt'},0.051821446895844024,0.3136645962732919
0.05,0.3,{'sausage'},{'yogurt'},0.07542329399692149,0.3661270236612702
0.05,0.3,{'whole milk'},{'yogurt'},0.15059004617752694,0.32866741321388576
0.05,0.3,{'yogurt'},{'whole milk'},0.15059004617752694,0.5321849501359928
0.05,0.3,{'soda'},{'yogurt'},0.09748589020010262,0.3109656301145663
0.05,0.3,{'yogurt'},{'soda'},0.09748589020010262,0.3445149592021759
0.05,0.3,{'pastry'},{'whole milk'},0.09107234479220112,0.5130057803468208
0.05,0.3,{'pastry'},{'soda'},0.06310928681375064,0.35549132947976875
0.05,0.3,{'canned beer'},{'whole milk'},0.08722421754746024,0.5279503105590062
0.05,0.3,{'canned beer'},{'soda'},0.054643406875320676,0.3307453416149068
0.05,0.3,{'sausage'},{'whole milk'},0.10697793740379682,0.5193026151930261
0.05,0.3,{'sausage'},{'soda'},0.07721908671113391,0.3748443337484433
0.05,0.3,{'soda'},{'whole milk'},0.15110312981015905,0.48199672667757776
0.05,0.3,{'whole milk'},{'soda'},0.15110312981015905,0.32978723404255317
0.05,0.3,{'sausage'},{'rolls/buns'},0.0823499230374551,0.3997509339975093
0.05,0.3,{'frankfurter'},{'whole milk'},0.06798358132375577,0.4944029850746269
0.05,0.3,{'curd'},{'whole milk'},0.06362237044638276,0.5265392781316348
0.05,0.3,{'whipped/sour cream'},{'whole milk'},0.0797845048742945,0.5157545605306799
0.05,0.3,{'whole milk'},{'rolls/buns'},0.17855310415597742,0.38969764837625975
0.05,0.3,{'rolls/buns'},{'whole milk'},0.17855310415597742,0.5106382978723404
0.05,0.3,{'beef'},{'whole milk'},0.06413545407901487,0.5364806866952789
0.05,0.3,{'frankfurter'},{'soda'},0.051051821446895844,0.3712686567164179
0.05,0.3,{'soda'},{'rolls/buns'},0.11980502821959979,0.3821603927986907
0.05,0.3,{'rolls/buns'},{'soda'},0.11980502821959979,0.3426265590608951
0.05,0.3,{'frankfurter'},{'rolls/buns'},0.05515649050795279,0.4011194029850746
0.05,0.3,{'curd'},{'rolls/buns'},0.05002565418163161,0.4140127388535032
0.05,0.3,{'whipped/sour cream'},{'rolls/buns'},0.05849153412006157,0.3781094527363184
0.05,0.3,{'tropical fruit'},{'whole milk'},0.11646998460749101,0.4983534577387486
0.05,0.3,{'frozen vegetables'},{'whole milk'},0.05515649050795279,0.5375
0.05,0.3,{'whole milk'},{'other vegetables'},0.1913801949717804,0.4176931690929451
0.05,0.3,{'other vegetables'},{'whole milk'},0.1913801949717804,0.5081743869209809
0.05,0.3,{'butter'},{'whole milk'},0.06618778860954336,0.5233265720081136
0.05,0.3,{'tropical fruit'},{'other vegetables'},0.09132888660851719,0.39077936333699237
0.05,0.3,{'butter'},{'other vegetables'},0.05720882503848127,0.45233265720081134
0.05,0.3,{'root vegetables'},{'rolls/buns'},0.09081580297588507,0.39377085650723026
0.05,0.3,{'pastry'},{'rolls/buns'},0.06952283222165213,0.3916184971098266
0.05,0.3,{'pastry'},{'other vegetables'},0.0715751667521806,0.4031791907514451
0.05,0.3,{'canned beer'},{'rolls/buns'},0.06670087224217547,0.4037267080745341
0.05,0.3,{'canned beer'},{'other vegetables'},0.0672139558748076,0.40683229813664595
0.05,0.3,{'root vegetables'},{'whole milk'},0.11313494099538225,0.4905450500556173
0.05,0.3,{'shopping bags'},{'whole milk'},0.09132888660851719,0.5426829268292683
0.05,0.3,{'pip fruit'},{'whole milk'},0.08696767573114418,0.5097744360902257
0.05,0.3,{'tropical fruit'},{'rolls/buns'},0.08825038481272447,0.37760702524698136
0.05,0.3,{'rolls/buns'},{'other vegetables'},0.14674191893278604,0.41966250917094644
0.05,0.3,{'other vegetables'},{'rolls/buns'},0.14674191893278604,0.3896457765667575
0.05,0.3,{'shopping bags'},{'rolls/buns'},0.06875320677270395,0.4085365853658537
0.05,0.3,{'pip fruit'},{'rolls/buns'},0.0672139558748076,0.39398496240601505
0.05,0.3,{'root vegetables'},{'other vegetables'},0.09415084658799384,0.4082313681868743
0.05,0.3,{'shopping bags'},{'other vegetables'},0.07311441765007697,0.4344512195121952
0.05,0.3,{'pip fruit'},{'other vegetables'},0.07234479220112879,0.42406015037593986
