stem,iou_vit,dice_vit,ap_vit,iou_swin,dice_swin,ap_swin,diff_iou,diff_dice,diff_ap
cju3v3ac9gyz30755hfqwyp1i,0.871425,0.931296,0.960493,0.90098,0.947911,0.995814,0.029554999999999998,0.016614999999999935,0.035320999999999936
cju3y21quj0ir0818kgjagr15,0.646413,0.785238,0.946544,0.888672,0.941055,0.988898,0.242259,0.15581699999999998,0.042354
cju3yb47cj1xq0817zfotbni4,0.854477,0.921529,0.980964,0.806183,0.892693,0.946874,-0.04829400000000006,-0.028836000000000084,-0.034089999999999954
cju414lf2l1lt0801rl3hjllj,0.63702,0.778268,0.89453,0.434867,0.606142,0.774178,-0.20215300000000003,-0.172126,-0.12035200000000001
cju45n0oxn5vu08500yfrt9jn,0.946388,0.972456,0.99621,0.967579,0.983522,0.999191,0.02119099999999996,0.01106600000000002,0.0029810000000000114
cju45ofd9ne1j0801ri8dup7t,0.721225,0.838037,0.962455,0.785204,0.87968,0.96004,0.06397900000000001,0.041642999999999986,-0.002414999999999945
cju5bdwa3aatx0818b79i18zf,0.9444,0.971405,0.997707,0.958288,0.9787,0.998762,0.013888000000000011,0.0072950000000000514,0.0010550000000000281
cju5bhv81abur0850ean02atv,0.898208,0.946375,0.994347,0.759933,0.863593,0.988523,-0.13827500000000004,-0.08278199999999991,-0.00582399999999994
cju5bj926aiec07559rshy4wa,0.861213,0.925432,0.971751,0.931368,0.964464,0.994514,0.07015499999999997,0.039031999999999956,0.022762999999999978
cju5cu8qkb84x08186jwo8yin,0.869761,0.930345,0.988748,0.42952,0.600929,0.558947,-0.440241,-0.32941599999999993,-0.429801
cju5eyfe9cpk90987laa7tsl3,0.921076,0.958917,0.991747,0.95053,0.974637,0.99545,0.02945399999999998,0.015719999999999956,0.003702999999999901
cju5f26ebcuai0818xlwh6116,0.92726,0.962257,0.995756,0.905383,0.950342,0.992966,-0.021876999999999924,-0.011915000000000009,-0.002789999999999959
cju5f8hxdcxxn08188obby0ea,0.952803,0.975831,0.998982,0.944024,0.971206,0.998206,-0.008778999999999981,-0.00462499999999999,-0.0007759999999999989
cju5fu081d8gc0818l3yylujk,0.862794,0.926344,0.975841,0.851657,0.919886,0.983602,-0.011136999999999952,-0.006457999999999964,0.007761000000000018
cju5fw37edaae0801vkwvocn7,0.955836,0.977419,0.998184,0.967803,0.983638,0.999044,0.01196699999999995,0.0062189999999999745,0.0008600000000000829
cju5hqz50e7o90850e0prlpa0,0.923139,0.960034,0.995832,0.919434,0.958026,0.99652,-0.0037050000000000693,-0.0020080000000000098,0.0006879999999999109
cju5hyi9yegob0755ho3do8en,0.822019,0.902316,0.878331,0.921047,0.958901,0.995489,0.0990279999999999,0.056584999999999996,0.11715799999999998
cju5i39mreass0817au8p22zy,0.475163,0.644217,0.953254,0.401817,0.57328,0.829623,-0.07334600000000002,-0.07093700000000003,-0.12363100000000005
cju5k503sfa5f0871lx0rpu5y,0.912312,0.954146,0.991333,0.927709,0.962499,0.995579,0.015396999999999994,0.008352999999999944,0.004245999999999972
cju5klveuff6w0871wbibgh3m,0.923771,0.960375,0.994864,0.839024,0.912467,0.979708,-0.08474700000000002,-0.04790799999999995,-0.015155999999999947
cju5vwbr4lhqn0987a1pji0ux,0.900679,0.947744,0.992072,0.866395,0.928416,0.991237,-0.03428399999999998,-0.019328000000000012,-0.0008349999999999191
cju5w7xn0lrkq0801f9k0htgx,0.889709,0.941636,0.98071,0.929895,0.963674,0.992787,0.040186000000000055,0.022038000000000002,0.012077000000000004
cju5y4hgqmk0i08180rjhbwvp,0.84399,0.915396,0.98735,0.911496,0.953699,0.995828,0.06750599999999995,0.038302999999999976,0.008478000000000097
cju5y84q3mdv50817eyp82xf3,0.914641,0.955418,0.994699,0.922142,0.959494,0.989542,0.00750099999999998,0.0040759999999999685,-0.005156999999999967
cju5yjq1pmlgc0801z0t24bly,0.880828,0.936638,0.958,0.898566,0.946573,0.960725,0.01773799999999992,0.009935000000000027,0.0027250000000000885
cju6ut4l8va6y0755tyw3vfqq,0.881688,0.937125,0.99147,0.864264,0.92719,0.976738,-0.017423999999999995,-0.009935000000000027,-0.014731999999999967
cju6uy20suzbl0987rzuhz7z9,0.932681,0.965168,0.996569,0.923532,0.960246,0.995114,-0.009148999999999963,-0.004921999999999982,-0.001454999999999984
cju6v6g6kvdw007552x6mb0po,0.905233,0.95026,0.979401,0.934921,0.966366,0.995958,0.029688000000000048,0.016105999999999954,0.016557000000000044
cju6vucxvvlda0755j7msqnya,0.819328,0.900693,0.908214,0.824427,0.903766,0.896034,0.005099000000000076,0.0030729999999999924,-0.012179999999999969
cju6w733bveoz0817e600tw72,0.778564,0.875497,0.937553,0.870176,0.930582,0.937834,0.09161199999999992,0.05508500000000005,0.0002809999999999757
cju6wn57mvooj0850rp78hhy7,0.753324,0.859309,0.946501,0.917188,0.956805,0.992053,0.163864,0.09749600000000003,0.045551999999999926
cju6xa0qmvzun0818xjukgncj,0.900603,0.947702,0.991847,0.955403,0.977193,0.998301,0.05479999999999996,0.029490999999999934,0.00645399999999996
cju6xmqd9w0250817l5kxfnsk,0.964847,0.982109,0.999064,0.96946,0.984493,0.999268,0.004612999999999978,0.0023839999999999417,0.000204000000000093
cju77afzlz3kp07550x5nafzs,0.817979,0.899877,0.98749,0.854225,0.921382,0.972784,0.036246,0.021504999999999996,-0.014705999999999997
cju77g99iyxc00817zqi2ppor,0.933574,0.965646,0.991152,0.939456,0.968783,0.995836,0.005881999999999943,0.0031369999999999454,0.0046840000000000215
cju77k828z46w0871r0avuoo9,0.951645,0.975223,0.997306,0.953645,0.976273,0.99553,0.0020000000000000018,0.0010499999999999954,-0.0017759999999999998
cju7aez2x1jtj0871ztezs3oi,0.546556,0.706804,0.902196,0.523948,0.687619,0.922816,-0.022608000000000072,-0.019185000000000008,0.02061999999999997
cju7agj961l2r0818z29iq8yn,0.884106,0.938489,0.966827,0.900981,0.947912,0.974455,0.016875000000000084,0.00942299999999996,0.007627999999999968
cju7awzmu1ncs0871hziy65zx,0.933969,0.965857,0.996573,0.948139,0.973379,0.998387,0.014169999999999905,0.007522000000000029,0.0018139999999999823
cju7b2l561oas0871decgslaf,0.92415,0.96058,0.997814,0.950859,0.974811,0.99875,0.026708999999999983,0.014230999999999994,0.0009360000000000479
cju7cp6dw244p0818gncdol4m,0.917051,0.956731,0.996217,0.928682,0.963023,0.996662,0.011631000000000058,0.006291999999999964,0.0004450000000000287
cju7d8m3b2e210755l8fj1yph,0.777402,0.874762,0.951069,0.107528,0.194176,0.386656,-0.6698740000000001,-0.680586,-0.564413
cju7d9seq29zd0871nzl2uu5m,0.466628,0.636328,0.803148,0.440204,0.611307,0.676658,-0.026424000000000003,-0.02502099999999996,-0.12649
