case_id,slice_id,unet_mean_dice,unet_mean_iou,transunet_mean_dice,transunet_mean_iou,dice_gap,iou_gap
img0002,img0002_slice0006,0.0,0.0,0.0,0.0,0.0,0.0
img0002,img0002_slice0008,0.0,0.0,0.0,0.0,0.0,0.0
img0002,img0002_slice0028,0.0,0.0,0.0,0.0,0.0,0.0
img0002,img0002_slice0043,0.0,0.0,0.0,0.0,0.0,0.0
img0002,img0002_slice0047,0.0,0.0,0.0,0.0,0.0,0.0
img0002,img0002_slice0061,0.0,0.0,0.0,0.0,0.0,0.0
img0002,img0002_slice0064,0.4411027568811753,0.3946188340630215,0.0,0.0,-0.4411027568811753,-0.3946188340630215
img0002,img0002_slice0065,0.3172995780510388,0.3027375201141994,0.0,0.0,-0.3172995780510388,-0.3027375201141994
img0002,img0002_slice0066,0.3047619047522297,0.2191780821817726,0.0,0.0,-0.3047619047522297,-0.2191780821817726
img0002,img0002_slice0067,0.4019332626930567,0.2654238141020436,0.3214285714158163,0.2368421052493074,-0.08050469127724036,-0.02858170885273617
img0002,img0002_slice0068,0.5043122511893731,0.3432969215256245,0.2762762762679797,0.1908713692866858,-0.22803597492139338,-0.15242555223893872
img0002,img0002_slice0069,0.9269519901381942,0.8660416666016415,0.3046357615793167,0.2190476190371882,-0.6223162285588775,-0.6469940475644533
img0002,img0002_slice0070,0.624542897301444,0.5878765247238881,0.257961783431275,0.1738197424818103,-0.36658111387016895,-0.41405678224207776
img0002,img0002_slice0071,0.9556844038330292,0.9156902186874336,0.2624309392192698,0.1779026217161834,-0.6932534646137594,-0.7377875969712502
img0002,img0002_slice0072,0.6251649861644832,0.5902526203509458,0.2424242424181206,0.1599999999946666,-0.38274074374636263,-0.4302526203562792
img0002,img0002_slice0073,0.3740088304043047,0.2947177442585736,0.1198067632815514,0.0730270906923547,-0.2542020671227533,-0.22169065356621892
img0002,img0002_slice0074,0.5097358999492544,0.4149143457065086,0.1860704095880296,0.1165293040245235,-0.32366549036122483,-0.2983850416819851
img0002,img0002_slice0075,0.8439106282832847,0.7370975990540399,0.1137017846833629,0.0727306547595693,-0.7302088435999218,-0.6643669442944706
img0002,img0002_slice0076,0.8031059916817239,0.6882972180189104,0.2333257325198158,0.1531177156110565,-0.5697802591619081,-0.535179502407854
img0002,img0002_slice0077,0.5340612796509803,0.484077099018371,0.1273484848448359,0.0794557070247687,-0.40671279480614436,-0.40462139199360225
img0002,img0002_slice0078,0.7915952877215089,0.7296990084777053,0.2150118670799708,0.1534618263384815,-0.5765834206415381,-0.5762371821392238
img0002,img0002_slice0079,0.8732812053697191,0.7944980852731294,0.2568996415677377,0.1893048128241013,-0.6163815638019814,-0.6051932724490281
img0002,img0002_slice0080,0.6970747622576551,0.63686813026904,0.5212067350905216,0.4367624290783609,-0.17586802716713346,-0.2001057011906791
img0002,img0002_slice0081,0.5811891594336847,0.5180515490277163,0.4950793667113541,0.4383657175430615,-0.08610979272233055,-0.07968583148465486
img0002,img0002_slice0082,0.5826583272313647,0.5015653516473374,0.4778714745234266,0.4220233170073675,-0.10478685270793808,-0.0795420346399699
img0002,img0002_slice0083,0.6031632459966207,0.5335867730103333,0.4877024389770767,0.4412253295170955,-0.11546080701954403,-0.09236144349323783
img0002,img0002_slice0084,0.6373986067208322,0.577290010839139,0.4808146584538376,0.4351366545343849,-0.15658394826699457,-0.14215335630475412
img0002,img0002_slice0085,0.6240774549095348,0.5605313149189435,0.6593250630927976,0.6157115147024681,0.03524760818326278,0.05518019978352462
img0002,img0002_slice0086,0.6018126937536203,0.5396008994422961,0.7489096308112794,0.6936377183945409,0.14709693705765903,0.15403681895224486
img0002,img0002_slice0087,0.7564817333789065,0.6702490441530417,0.7638727052129466,0.7006476849865403,0.007390971834040139,0.030398640833498636
img0002,img0002_slice0088,0.7241751970469514,0.6715553073014535,0.7737550615678073,0.7117033645618219,0.04957986452085583,0.04014805726036841
img0002,img0002_slice0089,0.6867650072103466,0.6048464119889514,0.8222512633489062,0.7457360327750462,0.13548625613855958,0.1408896207860948
img0002,img0002_slice0090,0.7970994972359463,0.729709095244975,0.8688800468481829,0.7822030907034829,0.07178054961223657,0.05249399545850797
img0002,img0002_slice0091,0.8073923413140037,0.7260891124839411,0.9009790748760024,0.8339570396260917,0.09358673356199865,0.10786792714215054
img0002,img0002_slice0092,0.830060781980841,0.7388426031297872,0.8690219914573126,0.7891226156122956,0.03896120947647164,0.05028001248250835
img0002,img0002_slice0093,0.8169235006484776,0.7466278536213522,0.8779461162827312,0.8009737161217289,0.061022615634253596,0.05434586250037665
img0002,img0002_slice0094,0.7908325396710503,0.7186300973423367,0.8121292475973331,0.7198722099296866,0.0212967079262828,0.0012421125873498529
img0002,img0002_slice0095,0.7517628519722763,0.6704131554092577,0.7182137642768993,0.6339910694905317,-0.03354908769537701,-0.03642208591872598
img0002,img0002_slice0096,0.7645717827414442,0.6780452988090089,0.6429730985465707,0.5742870839187828,-0.12159868419487352,-0.10375821489022607
img0002,img0002_slice0097,0.6639281942173262,0.5774548411221251,0.6423507851979113,0.574409316913555,-0.02157740901941485,-0.0030455242085700718
img0002,img0002_slice0098,0.6350056587077966,0.5510961346647011,0.636389298547212,0.5567662401831757,0.0013836398394154736,0.0056701055184745774
img0002,img0002_slice0099,0.7613581530997333,0.6687584633903368,0.6500404669872861,0.567553736678622,-0.11131768611244719,-0.10120472671171488
img0002,img0002_slice0100,0.8272149566258196,0.7204211727548038,0.7036325444141421,0.6040322539206702,-0.12358241221167743,-0.1163889188341336
img0002,img0002_slice0101,0.7377033574311856,0.6324948020180342,0.6613670281470078,0.575705379867258,-0.07633632928417788,-0.0567894221507762
img0002,img0002_slice0102,0.5719461357195254,0.4772653143765415,0.6138490370830275,0.5198704173497517,0.041902901363502165,0.042605102973210185
img0002,img0002_slice0103,0.5771895075915369,0.488018317913025,0.6003931993976284,0.5340245628735114,0.023203691806091498,0.04600624496048639
img0002,img0002_slice0104,0.5243390969341849,0.4454913229621489,0.6563231125478615,0.5760790408065074,0.13198401561367656,0.13058771784435852
img0002,img0002_slice0105,0.5088882697972378,0.4433960313847436,0.6179653344571266,0.5511142578387392,0.10907706465988887,0.10771822645399565
img0002,img0002_slice0106,0.5074408573299958,0.4456650750729328,0.6547914186152362,0.5869028820014153,0.14735056128524038,0.14123780692848248
img0002,img0002_slice0107,0.4496231336804153,0.3916165590435164,0.6230082983395131,0.5580144069810345,0.1733851646590978,0.16639784793751816
img0002,img0002_slice0108,0.4273498731337561,0.37708915025899,0.6434305542240374,0.581075309853786,0.21608068109028128,0.203986159594796
img0002,img0002_slice0109,0.4380772071062226,0.3738788782907872,0.6751767823001606,0.5951666124215975,0.23709957519393804,0.22128773413081032
img0002,img0002_slice0110,0.6527118894605856,0.5739905936802776,0.684741628380702,0.612115358720879,0.0320297389201164,0.03812476504060136
img0002,img0002_slice0111,0.6898518154203843,0.5805888057310585,0.5932924349764825,0.4983476225096965,-0.09655938044390178,-0.08224118322136204
img0002,img0002_slice0112,0.6089885260613007,0.5155248216452049,0.5836404315593118,0.4989968371492832,-0.025348094501988938,-0.016527984495921633
img0002,img0002_slice0113,0.6600931792868978,0.5883972460980215,0.5786870688970848,0.5182071629644196,-0.08140611038981305,-0.07019008313360187
img0002,img0002_slice0114,0.7292421772562029,0.6364292980638796,0.7045718505866443,0.6175524955521663,-0.024670326669558595,-0.01887680251171331
img0002,img0002_slice0115,0.5317466849520273,0.48130480371413,0.6033706374016005,0.521851845685105,0.0716239524495732,0.04054704197097503
img0002,img0002_slice0116,0.714604304949766,0.6404686412763615,0.5879599753301767,0.5170513205108513,-0.12664432961958927,-0.12341732076551015
img0002,img0002_slice0117,0.8682903534206923,0.7856704629909498,0.82399051497032,0.745353998257579,-0.04429983845037222,-0.040316464733370805
img0002,img0002_slice0118,0.8870634818736928,0.8112909725624465,0.7787240440967399,0.7228112441943984,-0.10833943777695287,-0.08847972836804818
img0002,img0002_slice0119,0.6600249127326471,0.6001270813874322,0.7080753553330249,0.6301235567407285,0.04805044260037783,0.029996475353296304
img0002,img0002_slice0120,0.7443332195438649,0.6827960782180332,0.6112063642491757,0.5532063460935741,-0.13312685529468915,-0.12958973212445912
img0002,img0002_slice0121,0.7104302932890758,0.6350031526249756,0.5980979786522828,0.5371480249694106,-0.11233231463679305,-0.09785512765556503
img0002,img0002_slice0122,0.8192128278657046,0.7315775660825171,0.7704373305039328,0.6761087791029112,-0.04877549736177178,-0.05546878697960589
img0002,img0002_slice0123,0.8778021256539988,0.801997309756759,0.8415889647268467,0.7482002717431752,-0.0362131609271521,-0.05379703801358382
img0002,img0002_slice0124,0.8361741759911779,0.7409703322276814,0.7953325357657421,0.6838773294089763,-0.040841640225435794,-0.05709300281870511
img0002,img0002_slice0125,0.6251106102861813,0.5695910699888435,0.5693909864138066,0.5017636712927402,-0.055719623872374724,-0.06782739869610321
img0002,img0002_slice0126,0.9390978403561986,0.8862857966029097,0.8606008700112714,0.7632921372617318,-0.0784969703449272,-0.1229936593411779
img0002,img0002_slice0127,0.933741246131008,0.8773986608907055,0.8907556232703941,0.8081712798720337,-0.042985622860613804,-0.06922738101867176
img0002,img0002_slice0128,0.8847012373376162,0.7993269039718814,0.92419214390895,0.8598203823587053,0.039490906571333806,0.06049347838682384
img0002,img0002_slice0129,0.7057987533624928,0.6425776838110326,0.8637246408467185,0.7653317877236163,0.15792588748422576,0.12275410391258368
img0002,img0002_slice0130,0.6422376122963135,0.5480264071002057,0.8186443953418141,0.7062690719930835,0.17640678304550061,0.15824266489287786
img0002,img0002_slice0131,0.7907360803140145,0.6669771539956353,0.7888204120888442,0.6779609596956018,-0.0019156682251703083,0.010983805699966487
img0002,img0002_slice0132,0.8846924026047475,0.8019519518957511,0.8905623430987445,0.8084962763083124,0.005869940493997028,0.006544324412561364
img0002,img0002_slice0133,0.8759551410177323,0.7831802434381556,0.8933465279582431,0.8075517664980624,0.01739138694051079,0.024371523059906752
img0002,img0002_slice0134,0.8910987398974494,0.8050281293332852,0.8444534631604864,0.7433796171166301,-0.04664527673696295,-0.061648512216655016
img0002,img0002_slice0135,0.9018133789862856,0.8213994191720948,0.7179272320671072,0.6222589835063705,-0.18388614691917837,-0.19914043566572426
img0002,img0002_slice0136,0.6622863820063275,0.5953523392057638,0.7259335678461046,0.5945997721365731,0.06364718583977713,-0.0007525670691906905
img0002,img0002_slice0137,0.617158419587785,0.5244019287450462,0.6878110959035434,0.5512297549845719,0.07065267631575844,0.02682782623952573
img0002,img0002_slice0138,0.5818593584529042,0.4754571913115809,0.5617424539592223,0.4864632237409216,-0.020116904493681864,0.011006032429340729
img0008,img0008_slice0005,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0010,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0015,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0033,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0037,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0048,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0058,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0068,0.0,0.0,0.0,0.0,0.0,0.0
img0008,img0008_slice0076,0.0,0.0,0.2775119617092099,0.1920529801197315,0.2775119617092099,0.1920529801197315
img0008,img0008_slice0077,0.0,0.0,0.2753623188272772,0.1899999999873333,0.2753623188272772,0.1899999999873333
img0008,img0008_slice0078,0.0,0.0,0.3117647058640138,0.2264957264763679,0.3117647058640138,0.2264957264763679
img0008,img0008_slice0079,0.0,0.0,0.2487562188930967,0.1655629138963203,0.2487562188930967,0.1655629138963203
img0008,img0008_slice0080,0.2179487179277613,0.1619047618816326,0.3209876542912666,0.3095238094685374,0.10303893636350528,0.1476190475869048
img0008,img0008_slice0081,0.2711323763825614,0.228494623637487,0.5452210789118653,0.4692674848376361,0.27408870252930395,0.2407728612001491
img0008,img0008_slice0082,0.2871189773759945,0.252158894632876,0.7460783630795461,0.6293789227208456,0.4589593857035516,0.3772200280879696
img0008,img0008_slice0083,0.2111436950084708,0.1545064377616091,0.7836829224789351,0.648141186246744,0.5725392274704644,0.4936347484851349
img0008,img0008_slice0084,0.150240384611773,0.1073883161475124,0.5867044428885178,0.4844041229004681,0.4364640582767447,0.37701580675295565
img0008,img0008_slice0085,0.1075555555531654,0.0735562310008037,0.4613371887450603,0.3682365526144199,0.35378163319189493,0.2946803216136162
img0008,img0008_slice0086,0.2355125522916505,0.1670826218215896,0.4497251456560382,0.3778790975140135,0.21421259336438772,0.2107964756924239
img0008,img0008_slice0087,0.4383060805863166,0.3454301404548124,0.4585435387473165,0.3774338242865311,0.02023745816099992,0.0320036838317187
img0008,img0008_slice0088,0.4073457958450074,0.3187134643346123,0.4499207638886583,0.3812017376600887,0.04257496804365091,0.06248827332547641
img0008,img0008_slice0089,0.5030184484540721,0.4374023729576885,0.4673993170015036,0.4136393612997824,-0.03561913145256845,-0.02376301165790612
img0008,img0008_slice0090,0.4604720268356613,0.3976063201447792,0.4703984021774583,0.4215735221093045,0.009926375341797022,0.023967201964525287
img0008,img0008_slice0091,0.4953401978524808,0.432208101349887,0.4234300744629927,0.3618663189842911,-0.0719101233894881,-0.0703417823655959
img0008,img0008_slice0092,0.4298616559172739,0.3826516773554031,0.3466145026328703,0.3100446659639772,-0.08324715328440357,-0.07260701139142595
img0008,img0008_slice0093,0.4359150554422249,0.3889179657593318,0.3316023126601301,0.2855237069117066,-0.10431274278209479,-0.10339425884762521
img0008,img0008_slice0094,0.4174733276685945,0.3643970694675504,0.3955466611436437,0.3197914421397264,-0.021926666524950844,-0.04460562732782403
img0008,img0008_slice0095,0.310733042746614,0.2733108921296923,0.2058173976755558,0.1689341157849905,-0.10491564507105822,-0.10437677634470177
img0008,img0008_slice0096,0.304656538893513,0.2618894636820983,0.1932008314664358,0.1643932712750233,-0.11145570742707722,-0.09749619240707502
img0008,img0008_slice0097,0.3562827149252366,0.3095479250461188,0.2580348189068453,0.2096297332439655,-0.09824789601839129,-0.09991819180215328
img0008,img0008_slice0098,0.3153525363796206,0.2616733650153356,0.3181170008790846,0.2794377931055516,0.0027644644994640477,0.017764428090216
img0008,img0008_slice0099,0.2564441731575176,0.2083503132783392,0.2752122998965338,0.2423337312939057,0.018768126739016178,0.03398341801556651
img0008,img0008_slice0100,0.2474039853605891,0.1996848558120302,0.2827227881101936,0.2490293001988976,0.03531880274960447,0.049344444386867414
img0008,img0008_slice0101,0.2260491468253531,0.1781313814979636,0.3173710742695388,0.2807219722220348,0.09132192744418571,0.10259059072407123
img0008,img0008_slice0102,0.3518630423471242,0.3053474273940703,0.3550988101313118,0.3017163976246496,0.0032357677841876042,-0.0036310297694207017
img0008,img0008_slice0103,0.3404931009152399,0.3009570133716246,0.363334375530508,0.3123081085890125,0.022841274615268137,0.011351095217387863
img0008,img0008_slice0104,0.4128275998100061,0.3600619334637653,0.3389555017979347,0.2901913133022968,-0.0738720980120714,-0.0698706201614685
img0008,img0008_slice0105,0.3894134023821702,0.3295160059366032,0.3283794519259671,0.2848861387509811,-0.06103395045620308,-0.04462986718562206
img0008,img0008_slice0106,0.3011273990001177,0.257587919488256,0.2945746123316357,0.2511475142466556,-0.006552786668482025,-0.006440405241600389
img0008,img0008_slice0107,0.2658016793700912,0.2287129510489316,0.2296572866899363,0.1952247774235738,-0.0361443926801549,-0.0334881736253578
img0008,img0008_slice0108,0.3363065985302235,0.2703310477609338,0.3799277315384056,0.3010018715270213,0.0436211330081821,0.030670823766087485
img0008,img0008_slice0109,0.3433702590861248,0.2783625764897723,0.3512470578947852,0.2850323333722247,0.007876798808660435,0.006669756882452416
img0008,img0008_slice0110,0.3274561669779071,0.2692849603185333,0.329901283865893,0.266430974561421,0.002445116887985932,-0.002853985757112265
img0008,img0008_slice0111,0.3450554973312506,0.2977968888382535,0.3525477447444278,0.2958869375694576,0.007492247413177167,-0.0019099512687958953
img0008,img0008_slice0112,0.3407666674032201,0.2833299297109775,0.3192141569135636,0.2629203091864461,-0.021552510489656507,-0.02040962052453138
img0008,img0008_slice0113,0.3562320148503238,0.2924827081464642,0.3129854438976782,0.2600445934756207,-0.04324657095264561,-0.03243811467084351
img0008,img0008_slice0114,0.4581851418654037,0.3888578690556357,0.2769423889154347,0.2375912890584285,-0.181242752949969,-0.1512665799972072
img0008,img0008_slice0115,0.4504955574109291,0.3808989616701985,0.27419911444575,0.2386860147926696,-0.1762964429651791,-0.1422129468775289
img0008,img0008_slice0116,0.3824447748771375,0.3176275085300262,0.2754777478144438,0.2419091245998207,-0.10696702706269373,-0.0757183839302055
img0008,img0008_slice0117,0.3826591736421417,0.3278619240335348,0.294732887657644,0.2580862558710221,-0.0879262859844977,-0.06977566816251274
img0008,img0008_slice0118,0.2880901127118472,0.2568616598763729,0.298795801168808,0.2748244680292789,0.010705688456960794,0.017962808152906018
img0008,img0008_slice0119,0.3228347613276077,0.2899521053981725,0.2752828195719122,0.2549999302253049,-0.04755194175569549,-0.03495217517286758
img0008,img0008_slice0120,0.4727235135313319,0.4226347708024855,0.2955697978279353,0.2705815295368157,-0.1771537157033966,-0.15205324126566983
img0008,img0008_slice0121,0.5223620567877274,0.4798686218776344,0.3157169480144082,0.3005594526028942,-0.2066451087733192,-0.17930916927474022
img0008,img0008_slice0122,0.600687996780364,0.5549397508542959,0.4114056285256812,0.3956076210716608,-0.1892823682546828,-0.1593321297826351
img0008,img0008_slice0123,0.6329244019216621,0.5814849624778927,0.4100525400104477,0.3933676375038292,-0.2228718619112144,-0.18811732497406353
img0008,img0008_slice0124,0.6431009207417598,0.5947325507278334,0.4065611767285623,0.3871052678161096,-0.23653974401319755,-0.20762728291172378
img0008,img0008_slice0125,0.6718107454779856,0.6354951345593083,0.410294444666455,0.3936647539806945,-0.2615163008115306,-0.24183038057861378
img0008,img0008_slice0126,0.5339178529754922,0.5013038545436936,0.4685479879949628,0.4412205061877991,-0.06536986498052944,-0.06008334835589452
img0008,img0008_slice0127,0.5734198651668091,0.5049701026434686,0.4887120548793099,0.4287337933221549,-0.08470781028749919,-0.07623630932131376
img0008,img0008_slice0128,0.6478698316721244,0.5406861718124654,0.5411858624040508,0.4536361758889723,-0.10668396926807366,-0.08704999592349305
img0008,img0008_slice0129,0.6432781684757788,0.5484718900582429,0.5757189760629162,0.511532662109977,-0.06755919241286257,-0.036939227948265874
img0008,img0008_slice0130,0.6107898627854825,0.5094899917778317,0.5001452744457484,0.4110671281976519,-0.11064458833973412,-0.09842286358017982
