epoch,loss,acc,time_sec,global_step
1,0.7183559815234998,0.5162494014263811,1032.912603855133,136
2,0.42367707828388496,0.891499329577474,788.2512068748474,272
3,0.3302295161959003,0.9313049180542722,784.7538168430328,408
4,0.2537674632142572,0.9417458255501354,814.091374874115,544
5,0.1994604070068282,0.9459542404202854,767.0815489292145,680
6,0.15260143769795403,0.94711263696937,848.2376317977905,816
7,0.11686938387506149,0.956969683222911,760.4408917427063,952
8,0.11190805381492656,0.960502168711494,753.2848370075226,1088
9,0.10352261884904959,0.9610527210375842,777.1225111484528,1224
10,0.09895020405597546,0.9668143238214886,752.9024660587311,1360
11,0.07564467076650437,0.9719642755739829,747.6915888786316,1496
12,0.05971253993373145,0.9785664581200656,757.3052868843079,1632
