epoch,loss,dice,iou,time_sec,global_step
1,0.28578541439492255,0.5294357613392038,0.3600221924486372,356.5364348888397,1088
2,0.06841787726871724,0.8442172575657149,0.7304290214505654,299.10794019699097,2176
3,0.044169423489673884,0.883557415082727,0.7914042576118737,308.1531150341034,3264
4,0.04503488022173235,0.879760142972427,0.7853319424884398,317.60448813438416,4352
5,0.03468224646520171,0.9011381781270662,0.8200650529391825,316.5866961479187,5440
6,0.031142077242667952,0.9090171293480412,0.8332093507616944,325.00660586357117,6528
7,0.030462349235997808,0.9106169810671683,0.8359015747824149,332.70009112358093,7616
8,0.026417319241291433,0.9183732429786755,0.8490666831391785,314.78333711624146,8704
9,0.026626621662324074,0.9194001402135706,0.8508238566635463,313.0281298160553,9792
10,0.023802775856679278,0.924372945062335,0.8593805267532163,338.3424198627472,10880
